"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","12µF","Capacitor_THT:CP_Axial_L42.5mm_D20.0mm_P49.00mm_Horizontal",""
"2","C2","1","47µF","Capacitor_THT:CP_Axial_L55.0mm_D35.0mm_P60.00mm_Horizontal",""
"3","C3","1","8µF","Capacitor_THT:CP_Axial_L42.5mm_D20.0mm_P49.00mm_Horizontal",""
"4","J1","1","Screw_Terminal_01x02","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm",""
"5","J2","1","Screw_Terminal_01x04","Connector_Wire:SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm",""
"6","L1","1","1,5mH","Inductor_THT:L_Radial_D24.4mm_P23.90mm_Murata_1400series",""
"7","L2","1","0,22mH","Inductor_THT:L_Radial_D40.6mm_P26.16mm_Vishay_IHB-5",""
"8","L3","1","0,1mH","Inductor_THT:L_Radial_D50.8mm_P33.27mm_Vishay_IHB-6",""
"9","R1","1","1,8Ω","Resistor_THT:R_Axial_Power_L48.0mm_W12.5mm_P60.96mm",""
"10","R2","1","2,7Ω","Resistor_THT:R_Axial_Power_L48.0mm_W12.5mm_P60.96mm",""
